,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
129,Hasaki,75,JP,1569891305,73,35.73,140.83,299.26,3.1
130,Umm Lajj,0,SA,1569891306,72,25.02,37.27,302.16,3.28
131,Omsukchan,98,RU,1569891307,88,62.53,155.8,265.76,2.75
132,Dalbandin,0,PK,1569891309,17,28.9,64.41,294.48,1.01
133,Mahebourg,79,MU,1569891310,84,-20.41,57.7,295.93,2.24
134,Geraldton,90,CA,1569891311,93,49.72,-86.95,278.15,5.1
135,Windhoek,0,NA,1569891313,28,-22.57,17.08,286.15,1.0
136,Chama,48,ZM,1569891314,58,-11.22,33.16,296.67,2.15
137,Port Lincoln,0,AU,1569891316,63,-34.72,135.86,290.65,4.49
138,Sorgun,0,TR,1569891317,37,39.81,35.19,287.23,1.36
139,Ratnagiri,95,IN,1569891318,76,16.98,73.3,300.59,1.64
140,East London,63,ZA,1569891152,83,-33.02,27.91,284.52,4.88
141,Anadyr,20,RU,1569891321,75,64.73,177.51,280.15,8.0
142,Nuuk,100,GL,1569891206,60,64.17,-51.74,280.15,3.1
143,Paramaribo,20,SR,1569891323,70,5.82,-55.18,302.15,4.1
144,Sao Joao do Piaui,41,BR,1569891190,48,-8.36,-42.25,299.62,0.73
145,Tornio,90,FI,1569891326,93,61.12,27.27,284.15,3.6
146,San Policarpo,76,PH,1569891327,79,12.18,125.51,301.32,2.84
147,Nesna,41,NO,1569891329,93,66.2,13.02,274.82,1.01
148,Lebu,78,ET,1569891330,90,8.96,38.73,284.56,1.59
149,Esperance,40,AU,1569891331,82,-33.86,121.89,290.15,5.7
150,Kodiak,1,US,1569891333,74,39.95,-94.76,301.15,4.6
151,Sao Joao da Boa Vista,0,BR,1569891334,64,-21.97,-46.8,293.15,1.5
152,Beloha,0,MG,1569891336,87,-25.17,45.06,293.55,1.37
153,Husavik,100,CA,1569891337,98,50.56,-96.99,279.26,7.46
154,Atbasar,0,KZ,1569891339,69,51.81,68.36,274.09,1.72
155,Bagdarin,68,RU,1569891340,80,54.44,113.59,275.98,2.09
156,Gayeri,61,BF,1569891341,68,12.65,0.49,301.47,3.86
157,Bilibino,100,RU,1569891343,91,68.06,166.44,269.62,1.19
158,Mount Gambier,0,AU,1569891344,62,-37.83,140.78,287.15,3.6
159,Kopavogur,0,IS,1569891345,93,64.11,-21.91,278.15,3.1
160,Dabat,95,ET,1569891347,98,12.98,37.77,291.05,0.79
161,Havelock,75,US,1569891348,78,34.88,-76.9,299.15,2.6
162,Lasa,0,CY,1569891349,63,34.92,32.53,295.15,3.1
163,Bredasdorp,15,ZA,1569891350,87,-34.53,20.04,284.82,1.5
164,Teguise,99,ES,1569891352,88,29.06,-13.56,296.15,3.1
165,Avarua,100,CK,1569891353,64,-21.21,-159.78,296.15,4.6
166,Sembakung,40,ID,1569891355,94,3.82,117.25,299.15,1.0
167,Chuy,96,UY,1569891356,85,-33.69,-53.46,293.31,1.18
168,Sitka,73,US,1569891358,67,37.17,-99.65,299.82,8.05
169,Shitanjing,0,CN,1569891359,54,39.23,106.34,292.74,4.83
170,Vestmanna,100,FO,1569891361,81,62.16,-7.17,279.15,6.2
171,New Norfolk,20,AU,1569891362,47,-42.78,147.06,287.59,3.1
172,Dzerzhinsk,40,RU,1569891363,82,56.24,43.46,286.15,5.0
173,Lorengau,99,PG,1569891365,75,-2.02,147.27,301.57,3.47
174,Koumac,100,NC,1569891366,84,-20.56,164.28,295.53,8.09
175,Vagur,68,FO,1569891367,70,61.47,-6.81,280.44,7.77
176,San Cristobal,94,HN,1569891369,84,14.68,-86.92,294.84,0.86
177,Challans,90,FR,1569891370,93,46.85,-1.88,291.48,4.6
178,Clarence Town,75,AU,1569891371,59,-32.59,151.78,293.15,4.6
179,Erzin,0,TR,1569891373,88,36.95,36.2,295.93,1.5
180,Guanay,75,BO,1569891374,93,-15.5,-67.88,292.87,0.47
181,Dubove,20,UA,1569891375,81,48.18,23.89,285.93,0.5
182,Inuvik,75,CA,1569891377,62,68.36,-133.71,285.15,3.1
183,Santa Lucia,75,IT,1569891378,77,41.98,12.66,296.15,1.5
184,Malaia,75,RO,1569891379,51,45.35,24.04,290.37,4.1
185,Ko Samui,20,TH,1569891169,83,9.54,99.94,301.15,3.55
186,Agadir,0,MA,1569891382,46,30.42,-9.58,296.15,3.1
187,Peleduy,81,RU,1569891383,79,59.63,112.75,270.95,2.34
188,Beipiao,0,CN,1569891385,46,41.8,120.76,294.52,3.6
189,Coroico,40,BO,1569891386,92,-16.19,-67.73,282.15,3.6
190,Ternate,75,PH,1569891387,88,14.29,120.72,302.59,3.6
191,Makakilo City,75,US,1569891389,74,21.35,-158.09,304.15,5.1
192,Malanje,33,AO,1569891390,89,-9.54,16.35,291.48,3.02
193,Ixtapa,90,MX,1569891391,78,20.71,-105.21,301.15,2.1
194,Itarema,10,BR,1569891393,81,-2.92,-39.92,297.25,4.6
195,Lichuan,39,CN,1569891394,62,30.3,108.94,291.01,2.99
196,Contai,78,IN,1569891395,87,21.78,87.75,297.27,1.89
197,Kayes,20,ML,1569891397,88,14.44,-11.44,300.15,2.1
198,Paamiut,100,GL,1569891398,63,61.99,-49.67,279.49,2.52
199,Huarmey,69,PE,1569891399,92,-10.07,-78.15,289.74,7.43
200,Fortuna,1,US,1569891401,66,40.6,-124.16,287.59,3.6
201,Comodoro Rivadavia,20,AR,1569891402,86,-45.87,-67.48,277.15,3.94
202,Daru,100,PG,1569891404,81,-9.07,143.21,299.1,5.11
203,Ilulissat,89,GL,1569891405,64,69.22,-51.1,273.15,1.0
204,Muisne,27,EC,1569891407,88,0.61,-80.02,297.62,7.89
205,Waingapu,1,ID,1569891408,63,-9.65,120.26,299.14,5.54
206,Dikson,71,RU,1569891410,83,73.51,80.55,271.81,5.91
207,Marica,75,BR,1569891411,88,-22.92,-42.82,294.15,5.7
208,Trofors,0,NO,1569891412,86,65.54,13.39,276.15,3.1
209,La Rioja,73,AR,1569891414,23,-29.41,-66.86,294.06,2.82
210,Beyneu,9,KZ,1569891415,56,45.32,55.19,285.89,4.39
211,Goundi,87,TD,1569891416,94,9.36,17.37,296.02,1.13
212,Victoria,75,BN,1569891418,83,5.28,115.24,300.15,1.0
213,Salalah,20,OM,1569891419,83,17.01,54.1,299.15,1.5
214,Ugoofaaru,100,MV,1569891420,71,5.67,73.0,300.43,1.13
215,Tura,28,RU,1569891422,72,64.27,100.22,268.97,1.73
216,Goure,87,NE,1569891423,62,13.98,10.27,301.48,0.89
217,Cabo San Lucas,90,MX,1569891153,78,22.89,-109.91,300.37,7.7
218,Vienna,0,AT,1569891000,58,48.21,16.37,287.59,2.6
219,Borogontsy,100,RU,1569891427,96,62.67,131.17,273.22,2.18
220,Quthing,2,LS,1569891428,71,-30.4,27.7,276.32,2.78
221,Luang Prabang,90,LA,1569891430,94,19.89,102.14,294.15,0.32
222,Vao,100,EE,1569891431,96,59.1,26.19,283.2,3.31
223,Henties Bay,0,NA,1569891432,87,-22.12,14.28,290.37,2.68
224,Port Arthur,1,US,1569891433,83,29.9,-93.93,301.15,3.93
225,Svetlaya,67,RU,1569891435,61,46.54,138.33,291.79,0.35
226,Cabanas,7,BR,1569891436,95,-8.41,-36.34,291.74,5.11
227,Tiksi,90,RU,1569891437,84,71.64,128.87,268.61,6.04
228,Emiliano Zapata,54,MX,1569891439,61,20.23,-89.47,302.07,3.79
229,Mount Isa,0,AU,1569891440,11,-20.73,139.49,306.15,5.7
230,Rio Gallegos,40,AR,1569891189,69,-51.62,-69.22,275.15,6.2
231,Lyman,94,UA,1569891443,69,48.98,37.82,289.91,7.72
232,Muros,75,ES,1569891444,93,42.77,-9.06,293.15,3.6
233,Mayo,90,CA,1569891445,70,63.59,-135.9,279.15,2.1
234,Nikolskoye,90,RU,1569891447,93,59.7,30.79,284.82,3.0
235,Ushirombo,35,TZ,1569891448,87,-3.47,31.9,291.85,1.35
236,Clyde River,90,CA,1569891449,100,70.47,-68.59,275.15,1.0
237,Salta,0,AR,1569891325,36,-24.79,-65.41,303.15,2.6
238,San Patricio,0,PY,1569891452,35,-26.98,-56.83,302.51,5.15
239,Georgetown,20,GY,1569891454,83,6.8,-58.16,301.15,4.1
240,Berlevag,100,NO,1569891456,76,70.86,29.09,278.58,12.99
241,Tuatapere,72,NZ,1569891457,72,-46.13,167.69,282.04,3.13
242,Virden,100,CA,1569891458,94,49.85,-100.93,277.2,3.31
243,Dunedin,0,NZ,1569891460,66,-45.87,170.5,280.93,5.81
244,Sinnamary,29,GF,1569891461,82,5.38,-52.96,301.03,5.2
245,Cabra,0,ES,1569891463,63,37.47,-4.43,297.59,1.0
246,Savda,100,IN,1569891464,90,21.15,75.89,295.96,2.51
247,Zonguldak,0,TR,1569891465,57,41.25,31.83,295.03,3.68
248,Inhambane,75,MZ,1569891467,89,-23.87,35.38,295.52,2.81
249,Gornopravdinsk,95,RU,1569891468,86,60.06,69.92,276.91,3.76
250,Hilo,90,US,1569891470,74,19.71,-155.08,300.15,4.6
251,Kiama,40,AU,1569891471,59,-34.67,150.86,291.48,3.1
252,Soverato,20,IT,1569891472,88,38.69,16.55,291.15,1.0
253,Eregli,0,TR,1569891473,36,37.51,34.05,287.45,0.28
254,Plettenberg Bay,76,ZA,1569891475,84,-34.05,23.37,283.53,2.15
255,Luangwa,67,MZ,1569891476,24,-15.62,30.4,296.35,1.36
256,Tiznit,88,MA,1569891477,66,29.7,-9.73,295.35,1.69
257,Nanortalik,100,GL,1569891479,57,60.14,-45.24,279.17,4.13
258,Luba,100,PH,1569891480,83,17.32,120.7,298.81,1.55
259,Tasiilaq,43,GL,1569891482,64,65.61,-37.64,277.15,4.1
260,Half Moon Bay,1,US,1569891483,67,37.46,-122.43,291.48,4.6
261,Bani,42,YE,1569891484,75,16.02,42.93,304.61,2.65
262,Ivybridge,40,GB,1569891486,93,50.39,-3.92,289.26,4.1
263,Sao Filipe,25,CV,1569891487,83,14.9,-24.5,298.79,4.87
264,Namibe,93,AO,1569891489,88,-15.19,12.15,291.06,3.81
265,Ulaanbaatar,20,MN,1569891398,70,47.92,106.92,280.15,4.0
266,Takaka,100,NZ,1569891491,79,-40.86,172.81,288.15,0.89
267,Okitipupa,94,NG,1569891492,95,6.5,4.78,296.64,1.21
268,Skelleftea,100,SE,1569891494,93,64.75,20.95,277.15,4.6
269,Soyo,87,AO,1569891495,81,-6.13,12.37,297.71,4.3
270,Puerto Narino,40,CO,1569891496,100,-3.77,-70.38,298.15,1.5
271,Manati,0,AL,1569891498,93,41.76,19.67,290.15,0.5
272,Mollendo,100,PE,1569891499,84,-17.03,-72.02,289.46,4.13
273,Skibotn,75,NO,1569891500,75,69.39,20.27,279.15,8.7
274,Qaanaaq,100,GL,1569891501,97,77.48,-69.36,274.33,5.83
275,Yeppoon,75,AU,1569891503,48,-23.13,150.74,301.15,1.5
276,Shipunovo,88,RU,1569891504,76,52.22,82.26,272.08,1.21
277,Bubaque,23,GW,1569891505,77,11.28,-15.83,300.74,3.97
278,Kouqian,0,CN,1569891507,68,43.66,126.5,293.03,7.33
279,Urengoy,100,RU,1569891508,97,65.96,78.37,274.8,4.94
280,Santiago,99,PH,1569891004,73,16.69,121.54,299.43,0.67
281,Blairmore,75,CA,1569891511,85,49.61,-114.44,276.15,4.1
282,Sudak,21,UA,1569891513,67,44.85,34.97,288.71,4.59
283,Nara,40,JP,1569891514,69,34.68,135.8,301.48,3.6
284,Cherskiy,100,RU,1569891515,93,68.75,161.3,272.03,6.2
285,Alanya,0,TR,1569891500,93,36.55,32.0,291.15,2.1
286,Sulphur,1,US,1569891518,78,30.24,-93.38,302.15,2.1
287,Sur,0,OM,1569891519,59,22.57,59.53,301.88,5.14
288,Talnakh,40,RU,1569891521,100,69.49,88.39,270.15,3.0
289,Yenagoa,88,NG,1569891522,93,4.92,6.26,296.9,2.03
290,Hualmay,48,PE,1569891523,91,-11.1,-77.61,289.88,6.38
291,Bartica,20,GY,1569891525,94,6.41,-58.62,299.15,3.1
292,Petropavl,77,KZ,1569891526,88,54.87,69.13,275.0,3.37
293,Longyearbyen,0,NO,1569891527,63,78.22,15.63,272.15,8.2
294,Carauari,100,BR,1569891529,96,-4.88,-66.9,296.99,1.35
295,Saint-Marc-des-Carrieres,90,CA,1569891530,66,46.68,-72.05,284.26,2.1
296,Lensk,92,RU,1569891531,82,60.71,114.91,271.82,3.56
297,Sao Joao do Paraiso,75,BR,1569891532,82,-15.31,-42.01,292.7,3.82
298,Honiara,90,SB,1569891534,79,-9.43,159.96,302.15,3.1
299,Kruisfontein,84,ZA,1569891535,87,-34.0,24.73,283.73,4.11
300,Chapayeve,90,UA,1569891537,100,49.37,35.87,287.15,5.0
301,Mehriz,20,IR,1569891538,20,31.58,54.44,296.15,2.1
302,Vaitape,31,PF,1569891539,78,-16.52,-151.75,298.7,8.27
303,Mullheim,0,DE,1569891541,93,47.81,7.63,285.37,2.1
304,Puerto del Rosario,92,ES,1569891542,88,28.5,-13.86,296.15,7.2
305,Anori,59,BR,1569891543,47,-3.74,-61.66,303.0,2.11
306,Nelidovo,100,RU,1569891545,97,56.22,32.78,284.97,3.63
307,Avera,40,US,1569891529,94,33.19,-82.53,302.59,1.31
308,Dunmore East,46,IE,1569891547,99,52.15,-6.99,288.71,1.81
309,Mashhad,0,IR,1569891549,54,36.3,59.61,286.15,2.14
310,Narsaq,90,GL,1569891550,25,60.91,-46.05,285.15,9.3
311,Dubovskoye,100,RU,1569891552,76,47.41,42.76,287.84,3.76
312,Satellite Beach,1,US,1569891553,83,28.18,-80.59,301.15,6.7
313,Vestmannaeyjar,40,IS,1569891554,86,63.44,-20.27,282.07,6.44
314,La Ronge,75,CA,1569891556,69,55.1,-105.3,276.15,2.1
315,Talara,52,PE,1569891557,91,-4.58,-81.27,291.83,9.87
316,Karratha,0,AU,1569891558,14,-20.74,116.85,303.58,3.78
317,Turan,15,RU,1569891559,87,52.15,93.92,267.15,0.96
318,Hofn,0,IS,1569891561,73,64.25,-15.21,269.3,3.72
319,Yulara,35,AU,1569891562,12,-25.24,130.99,303.15,5.1
320,Armidale,43,AU,1569891563,61,-30.51,151.67,283.71,4.02
321,Dustlik,99,UZ,1569891565,48,40.53,68.03,284.47,2.86
322,Am Timan,90,TD,1569891566,81,11.04,20.28,296.32,1.39
323,Yining,0,CN,1569891567,63,29.04,114.56,294.03,0.52
324,Timbuktu,0,ML,1569891569,12,16.77,-3.01,308.24,2.07
325,Chokurdakh,88,RU,1569891532,86,70.62,147.9,268.82,5.89
326,Pimentel,28,BR,1569891571,71,-3.7,-45.5,299.81,1.81
327,Upernavik,52,GL,1569891572,72,72.79,-56.15,277.35,3.22
328,Abu Dhabi,0,AE,1569891543,79,24.47,54.37,304.15,0.5
329,Nianzishan,0,CN,1569891575,39,47.51,122.88,287.04,0.45
330,Ola,100,RU,1569891576,51,59.58,151.3,274.38,1.78
331,Uvat,100,RU,1569891578,85,59.14,68.9,276.75,3.76
332,Saint-Pierre,35,FR,1569891579,93,48.95,4.24,288.15,5.7
333,Tezu,92,IN,1569891580,92,27.93,96.16,293.31,0.65
334,Ukiah,20,US,1569891582,33,39.15,-123.21,291.48,3.1
335,Mananjary,25,MG,1569891583,47,-19.16,46.8,293.14,1.14
336,Gondanglegi,81,ID,1569891585,75,-7.75,112.01,296.6,4.26
337,Tazovskiy,100,RU,1569891586,97,67.47,78.7,274.39,5.76
338,Corrales,92,CO,1569891587,95,5.83,-72.84,282.09,1.56
339,Buala,91,SB,1569891588,80,-8.15,159.59,300.39,3.91
340,Kichera,65,RU,1569891590,77,55.93,110.1,273.45,1.85
341,Pacific Grove,0,US,1569891591,39,36.62,-121.92,292.59,5.7
342,Chimoio,40,MZ,1569891592,93,-19.11,33.48,292.15,1.05
343,Manastiur,0,RO,1569891594,55,45.82,22.07,290.93,2.6
344,Medea,20,DZ,1569891596,93,36.27,2.77,289.15,1.0
345,Mackenzie,40,CA,1569891597,37,55.34,-123.09,284.15,2.6
346,Barsovo,90,RU,1569891599,100,61.17,73.17,279.15,4.0
347,Caucaia,0,BR,1569891600,74,-3.73,-38.66,299.15,3.1
348,Prince Rupert,1,CA,1569891423,62,54.32,-130.32,287.15,1.0
349,Gravdal,75,NO,1569891604,93,59.79,5.78,280.37,12.3
350,Zhanaozen,0,KZ,1569891606,48,43.35,52.85,286.43,5.28
351,Sao Joao da Barra,100,BR,1569891607,93,-21.64,-41.05,291.85,2.47
352,Kavieng,96,PG,1569891608,68,-2.57,150.8,302.0,3.94
353,Port Blair,2,IN,1569891610,79,11.67,92.75,300.6,2.37
354,Taoudenni,0,ML,1569891611,12,22.68,-3.98,306.89,5.08
355,Sfantu Gheorghe,0,RO,1569891612,77,44.65,26.83,290.37,3.6
356,Ponta Delgada,20,PT,1569891614,82,37.73,-25.67,294.82,1.5
357,Portland,90,US,1569891504,71,43.66,-70.25,285.37,1.5
358,Starozhilovo,100,RU,1569891616,99,54.23,39.91,286.48,2.24
359,Honggang,0,CN,1569891618,58,29.51,114.87,295.66,0.97
360,Kalvarija,70,LT,1569891619,80,54.41,23.23,282.52,9.35
361,Amursk,6,RU,1569891620,67,50.23,136.9,284.44,0.77
362,Port-Cartier,75,CA,1569891356,56,50.03,-66.88,279.26,3.1
363,Quatre Cocos,79,MU,1569891623,83,-20.21,57.76,295.93,1.34
364,Kamenka,83,MD,1569891625,78,48.03,28.7,284.82,1.79
365,Maracaibo,75,CO,1569891626,94,3.41,-75.78,294.15,2.1
366,Booue,68,GA,1569891628,98,-0.09,11.94,294.31,0.43
367,Moron,87,HT,1569891629,75,18.56,-74.26,300.9,2.52
368,San-Pedro,44,CI,1569891630,99,4.75,-6.64,295.74,1.1
369,Tavricheskoye,75,RU,1569891631,86,54.59,73.64,278.15,2.0
370,Russell,1,US,1569891633,58,38.9,-98.86,301.15,9.8
371,Bismarck,90,US,1569891635,93,46.81,-100.78,281.15,6.7
372,Lewistown,1,US,1569891636,78,40.39,-90.15,300.93,2.6
373,Rurrenabaque,99,BO,1569891638,79,-14.44,-67.53,295.16,2.16
374,Belomorsk,81,RU,1569891639,98,64.52,34.76,280.39,1.55
